1.0001e+05,99885,1.0003e+05,1.0021e+05,1.0021e+05,1.0028e+05,1.0032e+05,1.0014e+05,1.0001e+05,99971,99820,99766,99598,99508,99623,99723,99726,99610,99668,99736,99786,99720,99647,99534,99390,99340,99444,99562,99553,99571,99570,99542,99575,99523,99558,99554,99566,99528,99519,99517,99609,99794,99766,99579,99696,99689,99690,99618,99525,99490,99579,99668,99741,99852,99788,99684,99579,99625,99728,99899,1.0004e+05,99917,1.0003e+05,1.0013e+05,1.0009e+05,1.0003e+05,99955,99845,99782,99769,99825,99810,99768,99833,99753,99646,99621,99595,99622,99639,99755,99866,99816,99845,99917,99942,99968,99917,99761,99823,1.0005e+05,99957,99912,1.0002e+05,1e+05,1.0004e+05,1.0011e+05,1.0015e+05,1.0032e+05,1.0037e+05,1.0039e+05,1.0036e+05,1.0036e+05,1.0036e+05,1.0038e+05,1.0043e+05,1.0039e+05,1.0043e+05,1.0036e+05,1.004e+05,1.0049e+05,1.005e+05,1.0048e+05,1.0043e+05,1.0041e+05,1.0045e+05,1.0052e+05,1.0054e+05,1.005e+05,1.0052e+05,1.0058e+05,1.0058e+05
99994,1.0006e+05,1.0013e+05,1.001e+05,1.0009e+05,99987,99967,1e+05,99931,99879,99947,1.0014e+05,1.0016e+05,1.0021e+05,1.0012e+05,1.0003e+05,99904,99896,99853,99802,99746,99709,99582,99538,99698,99832,99823,99971,1.0004e+05,99977,99930,99981,99929,99846,99886,99880,99846,99805,99816,99845,99659,99591,99644,99625,99664,99778,99876,99783,99891,1.0006e+05,1.0007e+05,1.0004e+05,99877,99753,99716,99758,99861,99812,99752,99635,99645,99696,99773,99835,99864,99816,99873,99919,99917,99929,99921,99922,99815,99695,99791,99854,99913,99873,99946,1.0004e+05,1.0006e+05,1.0006e+05,1.002e+05,1.0018e+05,1.0012e+05,1.0007e+05,1.0017e+05,1.0029e+05,1.0023e+05,1.0009e+05,1.0015e+05,1.0014e+05,1.0015e+05,1.0017e+05,1.0018e+05,1.0025e+05,1.0029e+05,1.0011e+05,1.0011e+05,1.0015e+05,1.0006e+05,1.0007e+05,1.0018e+05,1.0013e+05,1.0006e+05,1.0021e+05,1.0035e+05,1.0025e+05,1.0035e+05,1.0039e+05,1.0031e+05,1.0032e+05,1.0032e+05,1.0029e+05,1.0014e+05,1.0022e+05,1.0036e+05,1.0042e+05,1.0041e+05,1.0045e+05,1.004e+05,1.0052e+05
99824,99853,99874,99941,99977,99844,99690,99750,99932,99849,99613,99576,99716,99632,99698,99828,99797,99795,99669,99666,99572,99516,99612,99627,99596,99701,99677,99607,99644,99861,99843,99808,99823,99766,99764,99902,99870,99871,99923,99920,99962,1.0004e+05,99898,99801,99802,99728,99763,99860,99814,99756,99706,99765,99726,99767,99785,99674,99674,99686,99749,99867,99893,99900,99914,99849,99721,99855,99989,99959,1.0001e+05,1.0001e+05,99871,99853,99903,99946,99940,1.0007e+05,99983,99940,1.0002e+05,1.0011e+05,1.0023e+05,1.003e+05,1.003e+05,1.0028e+05,1.0018e+05,1.0024e+05,1.0016e+05,1.0009e+05,1.0002e+05,1.0019e+05,1.003e+05,1.0033e+05,1.0044e+05,1.0052e+05,1.0041e+05,1.0032e+05,1.0025e+05,1.0019e+05,1.0024e+05,1.002e+05,1.0021e+05,1.0018e+05,1.0013e+05,1.0008e+05,99995,99980,1.0013e+05,1.0036e+05,1.0043e+05,1.003e+05,1.0029e+05,1.0043e+05,1.006e+05,1.0062e+05,1.0055e+05,1.0064e+05,1.0072e+05,1.0074e+05,1.0063e+05,1.0054e+05,1.0068e+05,1.0083e+05
99972,1.0005e+05,1.0017e+05,99985,99807,99865,99958,99961,99842,99849,99919,99951,99817,99772,99731,99859,99882,99858,99847,99892,99911,99766,99691,99717,99915,99972,99945,99674,99531,99654,99814,99861,99924,1.0001e+05,1.0005e+05,1.0002e+05,99955,99939,1.0001e+05,1e+05,99911,99993,99991,1.0007e+05,1.0012e+05,1.001e+05,1.0007e+05,99841,99869,1.001e+05,1.0007e+05,99968,1.0007e+05,1.0018e+05,1.0008e+05,99998,99969,1.0007e+05,1.0001e+05,99874,99755,99827,99921,1.0003e+05,99974,99908,99858,1.0003e+05,1.0016e+05,1.001e+05,99966,1.0008e+05,1.0019e+05,1.0017e+05,1.0018e+05,1.002e+05,1.0013e+05,1.0008e+05,1.0009e+05,1.0004e+05,1.0014e+05,1.0024e+05,1.0016e+05,1.0026e+05,1.0029e+05,1.0023e+05,1.0037e+05,1.0046e+05,1.0042e+05,1.0044e+05,1.0055e+05,1.0054e+05,1.0045e+05,1.0044e+05,1.0054e+05,1.0034e+05,1.0028e+05,1.0028e+05,1.0022e+05,1.0027e+05,1.0027e+05,1.0034e+05,1.0036e+05,1.005e+05,1.0058e+05,1.0068e+05,1.0058e+05,1.005e+05,1.0071e+05,1.0082e+05,1.0092e+05,1.0088e+05,1.0079e+05,1.008e+05,1.0069e+05,1.0066e+05,1.0072e+05,1.0071e+05,1.0064e+05,1.0064e+05,1.007e+05,1.0069e+05
1.0017e+05,1.0024e+05,1.0036e+05,1.0027e+05,99952,1.0003e+05,1.0015e+05,1.0016e+05,99865,99732,99816,99865,99684,99615,99687,99704,99882,99910,99964,99926,99850,99771,99832,99831,99837,99777,99835,99849,99860,1.0003e+05,1.0006e+05,1.0005e+05,1.0014e+05,1.0013e+05,1.0003e+05,99890,99871,99845,99999,1.0001e+05,1.0009e+05,1.0009e+05,1e+05,1.0002e+05,1.0011e+05,1.0008e+05,1.0004e+05,1e+05,1.0008e+05,1.0001e+05,99894,99834,99927,99825,99641,99632,99528,99668,99816,99795,99611,99592,99839,1e+05,99956,99886,99769,99887,99971,1.0006e+05,1.0002e+05,1.0016e+05,1.001e+05,99932,1.0003e+05,1.001e+05,1.0008e+05,1.0004e+05,1.0009e+05,1.0014e+05,1.0019e+05,1.0016e+05,1.0002e+05,99999,1.0002e+05,1.001e+05,1.0013e+05,1.0021e+05,1.0032e+05,1.0021e+05,1.0025e+05,1.0032e+05,1.0037e+05,1.0035e+05,1.0025e+05,1.0024e+05,1.0028e+05,1.0038e+05,1.0036e+05,1.0029e+05,1.0036e+05,1.0027e+05,1.0028e+05,1.0039e+05,1.005e+05,1.0042e+05,1.0044e+05,1.0035e+05,1.0037e+05,1.0043e+05,1.0044e+05,1.0051e+05,1.0058e+05,1.0074e+05,1.0082e+05,1.0075e+05,1.0069e+05,1.0087e+05,1.0099e+05,1.0102e+05,1.0099e+05,1.0093e+05
1.0017e+05,99967,1.0007e+05,1.0012e+05,1.0002e+05,99888,99875,99778,99948,1.0003e+05,1.0009e+05,1.0017e+05,1.0019e+05,1.0011e+05,1.002e+05,1.0013e+05,99903,99794,99736,99710,99655,99796,99978,1.0017e+05,99932,99714,99645,99613,99554,99641,99677,99581,99637,99638,99760,99871,1.0011e+05,1.0018e+05,1.0014e+05,1.0015e+05,1.0022e+05,1.0032e+05,1.0041e+05,1.0034e+05,1.0015e+05,1.0009e+05,1.0021e+05,1.0022e+05,1.0011e+05,1.0006e+05,1.0002e+05,1.0016e+05,1.0027e+05,1.0028e+05,1.0033e+05,1.0016e+05,99979,99991,1.0026e+05,1.001e+05,1.0012e+05,1.003e+05,1.0026e+05,1.0015e+05,99980,1e+05,1.0024e+05,1.0039e+05,1.0023e+05,99997,1.0002e+05,1.0002e+05,1.0002e+05,99993,1.0006e+05,99914,99824,99883,99867,99678,99674,99814,1.0001e+05,99998,1.0018e+05,1.0035e+05,1.0037e+05,1.0039e+05,1.0047e+05,1.0059e+05,1.0069e+05,1.0058e+05,1.0035e+05,1.0027e+05,1.0021e+05,1.0024e+05,1.0031e+05,1.0045e+05,1.0037e+05,1.0031e+05,1.0033e+05,1.0044e+05,1.0063e+05,1.0062e+05,1.0057e+05,1.0043e+05,1.0056e+05,1.0081e+05,1.0088e+05,1.0075e+05,1.0072e+05,1.0072e+05,1.008e+05,1.0084e+05,1.0055e+05,1.0037e+05,1.0047e+05,1.0054e+05,1.0065e+05,1.0076e+05,1.0074e+05,1.0077e+05
99590,99818,99733,99618,99625,99579,99670,99649,99556,99668,99625,99632,99690,99710,99885,99951,99988,99978,99857,99838,99871,99825,99768,99822,99928,99781,99659,99735,99840,99826,99685,99621,99753,99708,99724,99592,99454,99528,99704,99767,99785,99768,99710,99708,99633,99608,99646,99759,99877,99913,99894,99963,1.0003e+05,1.0007e+05,99971,99879,99925,1.0006e+05,1.0017e+05,1.0001e+05,99820,99766,99808,99834,99841,99689,99734,99715,99734,99680,99642,99744,99826,99834,99822,99755,99684,99897,99931,99934,1.0007e+05,1.0014e+05,1.0011e+05,1.0001e+05,1.001e+05,1.0034e+05,1.0043e+05,1.0048e+05,1.0041e+05,1.0021e+05,1.0012e+05,99953,99985,1.0004e+05,99878,99822,99829,99980,1.0021e+05,1.0018e+05,1.0013e+05,1.0012e+05,1.0014e+05,1.0016e+05,1.0011e+05,99977,1.0007e+05,1.0002e+05,99992,1.0005e+05,1.0009e+05,1.0012e+05,1.0008e+05,1.0017e+05,1.001e+05,1.0013e+05,1.0016e+05,1.0031e+05,1.0035e+05,1.002e+05,1.0002e+05,1.001e+05
99885,99903,99842,99903,99977,99975,99867,99803,99764,99778,99757,99830,99804,99817,99725,99671,99713,99654,99726,99792,99768,99686,99596,99629,99692,99594,99586,99497,99581,99629,99687,99800,99798,99748,99838,99928,1.0008e+05,1e+05,99895,99883,99872,99833,99762,99726,99787,99870,99881,99826,99695,99724,99891,99825,99852,1.0002e+05,1.0003e+05,99984,99962,99976,1.0003e+05,1e+05,1e+05,1.0011e+05,1.001e+05,1.0004e+05,1e+05,99926,99836,99784,99844,99952,99909,99958,99999,1.0012e+05,1.001e+05,1.0003e+05,1.0004e+05,99996,99873,99897,99953,1.0011e+05,1.001e+05,99916,99811,99865,99912,99871,99901,99990,99959,99840,99870,99939,99990,99961,99883,99892,1.0011e+05,1.003e+05,1.0019e+05,1.0018e+05,1.0026e+05,1.0027e+05,1.0028e+05,1.0031e+05,1.0048e+05,1.0063e+05,1.0055e+05,1.0051e+05,1.0069e+05,1.0061e+05,1.0056e+05,1.0047e+05,1.0059e+05,1.0065e+05,1.0062e+05,1.0052e+05,1.0037e+05,1.0036e+05,1.0045e+05,1.0035e+05
99867,99815,99654,99521,99486,99548,99550,99675,99789,99953,99969,1.0009e+05,1.0011e+05,99966,99881,99882,99940,99864,99789,99860,99904,99951,99879,99929,99872,99822,99812,99764,99739,99789,99728,99846,99711,99577,99565,99781,99832,99855,99862,99871,99860,99892,99906,99896,99884,99985,1.0002e+05,99988,99913,99853,99783,99776,99864,1.0006e+05,1.0016e+05,99995,99930,99856,99883,99887,99897,99705,99654,99484,99447,99484,99724,99953,99904,99790,99782,99898,99889,99808,99832,99913,99951,99888,99900,99935,99994,1.0009e+05,1.0026e+05,1.0032e+05,1.0018e+05,1.0028e+05,1.0033e+05,1.0028e+05,1.0026e+05,1.0036e+05,1.0039e+05,1.0029e+05,1.0023e+05,1.0004e+05,99961,1.0009e+05,1.0015e+05,1.0008e+05,1.0006e+05,99997,1.0001e+05,1.0013e+05,1.0018e+05,1.0024e+05,1.003e+05,1.0033e+05,1.0035e+05,1.0037e+05,1.0039e+05,1.0048e+05,1.0044e+05,1.0029e+05,1.0026e+05,1.0023e+05,1.002e+05,1.0018e+05,1.003e+05,1.0039e+05,1.0047e+05,1.0055e+05,1.006e+05,1.0082e+05
99756,1.0005e+05,1.0011e+05,99996,99789,99720,99731,99866,99918,99821,99813,99798,99751,99963,99877,99891,99915,99824,99783,99921,99973,99864,99809,99915,99921,99922,99782,99708,99808,99772,99661,99636,99642,99726,99617,99438,99637,99783,99554,99574,99570,99578,99665,99669,99729,99618,99511,99470,99524,99567,99652,99790,1.0003e+05,1.0002e+05,1.0021e+05,1.0028e+05,1.0011e+05,99932,99890,99907,99900,99911,1.0002e+05,99936,99859,99715,99791,99817,99837,1.0001e+05,1.0014e+05,1.0012e+05,99912,99936,1.0003e+05,1.0004e+05,1.0005e+05,99982,99923,99907,99824,99720,99775,99608,99827,1.0003e+05,99995,99959,99977,1.0004e+05,99984,99885,99949,99939,1.001e+05,1.0036e+05,1.005e+05,1.0042e+05,1.0039e+05,1.0052e+05,1.0048e+05,1.0031e+05,1.0027e+05,1.0021e+05,99995,1.0001e+05,1.0046e+05,1.0067e+05,1.005e+05,1.004e+05,1.0043e+05,1.005e+05,1.0055e+05,1.0037e+05,1.0022e+05,1.003e+05,1.0037e+05,1.0035e+05,1.0028e+05,1.005e+05,1.0064e+05,1.0068e+05
